gene_symbol,chromosome,clinical_significance,disease,inheritance_pattern,allele_frequency
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.027272622
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.044953096
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.018834212
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.036285121
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.0553558
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.001936044
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.03164285
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.006315031
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.024399945
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006398716
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.067216184
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00373682
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.007325255
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00291467
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.068371936
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003015283
HEXA,chr15,Benign,Tay-Sachs Disease,germline,5.84e-05
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000510217
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.003616365
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.000944355
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.054136621
HEXA,chr15,Benign,Tay-Sachs Disease,germline,3.39e-05
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.056210973
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.012438615
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.014981252
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,2.31e-05
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.045697091
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.056817281
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.006961188
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.152243883
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.124061226
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.013047137
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.005271726
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.068579563
DMD,chrX,Benign,Dilated Cardiomyopathy 3B,germline,0.009085592
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.064835586
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.010057051
DMD,chrX,Benign,Dilated Cardiomyopathy 3B,germline,0.000524554
CFTR,chr7,Unknown,Cystic Fibrosis,germline,0.018613764
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001479249
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.017138433
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.034774592
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.033832223
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.024961969
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.003859426
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002177792
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000180195
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.006756283
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.019086347
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.016885628
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.096176537
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.024530577
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.000887212
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.025871164
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.002238157
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.036437538
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.000699058
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000192158
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.002196787
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.006909102
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.021356572
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.005300251
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.030026413
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.003259111
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.014232656
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.003802208
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.212208201
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.039340121
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.003726189
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.098772087
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.041375061
DMD,chrX,Uncertain,Primary Dilated Cardiomyopathy,germline,1.97e-06
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001845073
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.001183581
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.021228947
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001416278
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001130334
DMD,chrX,Uncertain,Cardiovascular Phenotype,germline,0.000147549
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.017301277
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.013643238
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000104987
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.119252046
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.003355796
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.001382159
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.005267756
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.118901663
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.005106585
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.077136156
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000634405
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.188975981
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.01386817
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.009305029
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.033154897
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005350841
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.016272
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001996157
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.034559646
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.064101598
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.010916875
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000763819
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.035100175
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.00026444
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.009555861
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.188885478
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.000655416
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.007698286
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.029691423
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.003328164
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.00259723
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.009811898
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.023312186
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001529867
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.005585624
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.003852017
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.004102573
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.029134712
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.03766279
CFTR,chr7,Benign,Hereditary Pancreatitis,germline,0.000499901
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001922619
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.063083009
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.062452506
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.024493252
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000239353
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.030545977
CFTR,chr7,Benign,Cystic Fibrosis,germline,6.7e-05
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.000824022
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00153333
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.049801702
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001260648
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.011908406
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.042245584
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.003372166
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000985595
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.178321444
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.006442667
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.041461892
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.054880944
DMD,chrX,Benign,Cardiovascular Phenotype,germline,0.005052809
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.063658293
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.002385713
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.001857639
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003171921
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.009604237
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.021950839
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.139561447
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.026161559
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.014348397
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,7.6e-05
CFTR,chr7,Uncertain,Cftr-Related Disorder,germline,0.002934486
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.004024189
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.028211671
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.01118102
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.002805471
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.083085276
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.176293675
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.002167079
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.026380038
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.008325625
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.019936415
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.004232786
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.008423712
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000333588
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.01145267
DMD,chrX,Benign,Cardiovascular Phenotype,germline,0.005805506
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002554248
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.020262198
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.03675039
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.031084811
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000479696
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.055896237
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.000110708
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.014988549
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.02590043
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.051757648
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.024792764
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.003035378
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001313151
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.001843611
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.10765268
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.004063979
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.10445015
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.021808229
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.021135035
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.009850237
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003549314
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.009940185
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001712888
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.015429376
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.011590374
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.007658089
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.013263273
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.025434116
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.013353063
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002217674
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.002001858
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.062517602
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.010892589
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.00064767
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.065415868
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.007599353
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.049389844
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.001209093
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.046861164
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.005689269
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.027125079
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.040046798
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.002078652
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.017525017
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.193450148
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.054288434
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.005595238
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.10634888
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.008945812
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.018201705
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.052655882
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,6.64e-06
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00892417
HEXA,chr15,Benign,Tay-Sachs Disease,germline,2.58e-05
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,2.03e-05
DMD,chrX,Benign,Becker Muscular Dystrophy,germline,0.041338394
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,3.3e-08
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.033965764
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000648861
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.089963754
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.000189861
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000480891
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.059231894
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.003810427
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.054052247
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.060429727
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.000912679
CFTR,chr7,Unknown,Cystic Fibrosis,germline,0.000121115
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002405956
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.036389968
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.034231996
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001278596
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.003662506
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.034615777
